scale,crowding,extra_budget,t,tau,budget,reference_max,projection_distortion,geometry_lower_bound,distance_nrmse,global_gap_bound
0.3,0.9,4.0,18,5.5165256835178695,9.51652568351787,9.51652568351787,0.939926701181834,0.5951036281770815,0.6707340095557914,1.9579012359827175e-05
0.3,0.9,4.0,19,5.357221554487182,9.357221554487182,9.357221554487182,0.9354629326341335,0.5960176531322369,0.6707702071763331,2.039387209151755e-05
0.3,0.9,4.0,20,5.43606072290774,9.43606072290774,9.43606072290774,0.9377687045890988,0.5952888771665601,0.6705919899885422,2.025953972406569e-05
0.1,0.9666666666666667,0.0,0,6.43056662008955,6.43056662008955,6.43056662008955,0.9661175242143124,0.7277215061403575,0.7833037805132544,5.002220859751105e-12
0.1,0.9666666666666667,0.0,1,6.50612751588983,6.50612751588983,6.50612751588983,0.9689587962377931,0.7282899935704578,0.7842937267039296,0.0
0.1,0.9666666666666667,0.0,2,6.541001786136043,6.541001786136043,6.541001786136043,0.9708733477231225,0.7285869351939237,0.7850367409933908,0.0
0.1,0.9666666666666667,0.0,3,6.618167686108542,6.618167686108542,6.618167686108542,0.9724272412513134,0.7280133489663961,0.7849377346504247,0.0
0.1,0.9666666666666667,0.0,4,6.644105093418808,6.644105093418808,6.644105093418808,0.9722654123304062,0.7267235312278919,0.7838067143478997,0.0
0.1,0.9666666666666667,0.0,5,6.6843747292966,6.6843747292966,6.6843747292966,0.9735307370430607,0.72627991739761,0.7837234096063301,0.0
0.1,0.9666666666666667,0.0,6,6.565692820377016,6.565692820377016,6.565692820377016,0.9709433889391024,0.7280968927312305,0.784564914670897,0.0
0.1,0.9666666666666667,0.0,7,6.676739233181699,6.676739233181699,6.676739233181699,0.9733873838661897,0.7263575812975468,0.783791129120299,0.0
0.1,0.9666666666666667,0.0,8,6.684897524350639,6.684897524350639,6.684897524350639,0.97411236326433,0.7270847171112224,0.7845829937172,0.0
